Student_ID,Python,SQL,Excel,Statistics,Data Analysis,Machine Learning,Deep Learning,NLP,Power BI,Tableau,Java,JavaScript,HTML_CSS,C++,Git,Linux,Cloud,Cybersecurity,Communication,Problem Solving,Target_Career
S001,5,4,2,5,5,5,3,2,2,1,0,1,1,0,4,2,2,0,4,5,Data Scientist
S002,4,5,5,3,5,2,0,0,5,4,0,1,1,0,4,1,1,0,5,4,Data Analyst
S003,3,2,1,1,1,1,0,0,0,0,5,4,3,4,5,3,2,1,4,5,Software Developer
S004,2,2,1,0,1,0,0,0,0,0,1,5,5,0,4,2,2,0,4,4,Web Developer
S005,5,3,1,4,4,5,5,4,1,1,0,2,1,2,5,5,4,0,3,5,ML Engineer
S006,2,4,5,3,5,1,0,0,4,3,0,1,1,0,2,0,1,0,5,4,Business Analyst
S007,2,2,1,2,2,1,0,0,0,0,0,1,1,2,4,5,3,5,4,5,Cybersecurity Analyst
S008,3,2,1,1,1,2,1,0,0,0,1,2,1,2,5,5,5,2,3,5,Cloud Engineer
S009,5,4,3,4,5,4,2,2,3,2,0,1,1,0,4,2,2,0,5,5,Data Scientist
S010,4,5,4,3,5,2,0,0,5,5,0,1,1,0,3,1,1,0,4,4,Data Analyst
S011,3,2,1,1,1,2,0,0,0,0,5,4,3,4,4,2,2,1,3,5,Software Developer
S012,2,3,1,0,1,0,0,0,0,0,1,5,5,0,4,2,2,0,4,4,Web Developer
S013,5,3,2,4,4,5,4,3,1,1,0,2,1,2,4,5,4,0,4,5,ML Engineer
S014,2,4,5,4,5,1,0,0,4,4,0,1,1,0,3,0,1,0,5,5,Business Analyst
S015,2,2,1,2,2,2,0,0,0,0,0,1,1,2,5,5,3,5,4,5,Cybersecurity Analyst
S016,3,2,1,1,1,2,1,0,0,0,1,2,1,2,5,5,5,2,4,5,Cloud Engineer
S017,5,4,2,5,5,4,4,3,2,2,0,1,1,0,4,2,2,0,4,5,Data Scientist
S018,4,5,5,3,5,2,0,0,5,4,0,1,1,0,4,1,1,0,4,4,Data Analyst
S019,3,2,1,1,1,1,0,0,0,0,4,4,3,4,5,3,2,1,5,5,Software Developer
S020,2,2,1,0,1,0,0,0,0,0,1,5,5,0,4,2,2,0,4,4,Web Developer
S021,5,3,1,4,4,5,5,4,1,1,0,2,1,2,4,5,4,0,3,5,ML Engineer
S022,2,4,5,3,5,1,0,0,4,3,0,1,1,0,2,0,1,0,5,4,Business Analyst
S023,2,2,1,2,2,1,0,0,0,0,0,1,1,2,4,5,3,5,4,5,Cybersecurity Analyst
S024,3,2,1,1,1,2,1,0,0,0,1,2,1,2,5,5,5,2,3,5,Cloud Engineer
S025,5,4,3,5,5,5,4,3,3,2,0,1,1,0,5,2,2,0,5,5,Data Scientist
S026,4,5,5,3,5,2,0,0,5,5,0,1,1,0,4,1,1,0,5,4,Data Analyst
S027,3,2,1,1,1,1,0,0,0,0,5,4,3,4,5,3,2,1,4,5,Software Developer
S028,2,2,1,0,1,0,0,0,0,0,1,5,5,0,4,2,2,0,4,4,Web Developer
S029,5,3,1,4,4,5,5,4,1,1,0,2,1,2,5,5,4,0,4,5,ML Engineer
S030,2,4,5,3,5,1,0,0,4,3,0,1,1,0,2,0,1,0,5,5,Business Analyst
S031,2,2,1,2,2,1,0,0,0,0,0,1,1,2,4,5,3,5,4,5,Cybersecurity Analyst
S032,3,2,1,1,1,2,1,0,0,0,1,2,1,2,5,5,5,2,3,5,Cloud Engineer
S033,5,4,2,5,5,5,4,3,2,2,0,1,1,0,4,2,2,0,4,5,Data Scientist
S034,4,5,5,3,5,2,0,0,5,4,0,1,1,0,3,1,1,0,4,4,Data Analyst
S035,3,2,1,1,1,1,0,0,0,0,4,4,3,4,5,3,2,1,4,5,Software Developer
S036,2,2,1,0,1,0,0,0,0,0,1,5,5,0,4,2,2,0,4,4,Web Developer
S037,5,3,1,4,4,5,5,4,1,1,0,2,1,2,4,5,4,0,3,5,ML Engineer
S038,2,4,5,3,5,1,0,0,4,3,0,1,1,0,2,0,1,0,5,4,Business Analyst
S039,2,2,1,2,2,1,0,0,0,0,0,1,1,2,4,5,3,5,4,5,Cybersecurity Analyst
S040,3,2,1,1,1,2,1,0,0,0,1,2,1,2,5,5,5,2,3,5,Cloud Engineer
